av_pred_class,av_training_set,kepid,spline_bkspace,tce_depth,tce_duration,tce_impact,tce_max_mult_ev,tce_model_snr,tce_period,tce_plnt_num,tce_prad,tce_time0bk
AFP,AFP,10000490,0.5,657.0999755859375,0.0833333358168602,0.10000000149011612,20.709999084472656,-1.0,1.4009300470352173,2,4.933000087738037,131.81300354003906
AFP,AFP,5558894,4.231344699859619,31.350000381469727,0.06208333373069763,0.5252000093460083,7.735000133514404,9.196000099182129,0.7658159732818604,2,0.5659999847412109,131.88499450683594
NTP,NTP,5707308,0.5,0.00020169999334029853,0.3569999933242798,0.9203000068664551,11.859999656677246,0.00010309999925084412,2.945319890975952,1,0.003829000052064657,134.45399475097656
AFP,AFP,5471619,16.470661163330078,190.6999969482422,0.10783333331346512,0.19030000269412994,16.770000457763672,16.280000686645508,0.9618710279464722,2,3.632999897003174,132.4029998779297
PC,PC,7430034,1.087040662765503,500.20001220703125,0.2953749895095825,0.9336000084877014,37.56999969482422,38.97999954223633,49.62189865112305,1,2.7660000324249268,137.10400390625
NTP,NTP,12268190,0.5,29.299999237060547,0.1460416615009308,0.03545000031590462,11.539999961853027,11.460000038146973,1.9914499521255493,2,0.9326000213623047,132.468994140625
AFP,AFP,12353720,0.7372382879257202,444.0,0.04779166728258133,0.9004999995231628,88.69999694824219,96.93000030517578,1.9532699584960938,2,3.2309999465942383,132.16900634765625
AFP,AFP,7368960,20.0,76.13999938964844,0.15066666901111603,0.4207000136375427,9.248000144958496,9.798999786376953,1.0857000350952148,2,1.7630000114440918,132.30499267578125
PC,PC,4458082,0.5,131.3000030517578,0.08754166960716248,0.0392800010740757,11.470000267028809,13.229999542236328,8.934889793395996,2,1.5230000019073486,133.38299560546875
AFP,AFP,8816310,2.8697266578674316,31.90999984741211,0.12195833027362823,0.6933000087738037,13.270000457763672,12.960000038146973,0.8892819881439209,3,1.0329999923706055,131.5749969482422
AFP,AFP,5705927,0.5,46.279998779296875,0.20200000703334808,0.30059999227523804,10.520000457763672,11.260000228881836,1.6123700141906738,1,1.3020000457763672,132.90899658203125
AFP,AFP,11657371,0.6071401238441467,58.279998779296875,0.09145833551883698,0.7218000292778015,12.319999694824219,11.9399995803833,0.8415650129318237,2,1.4199999570846558,132.09300231933594
PC,PC,7256914,9.199287414550781,61.95000076293945,0.21787500381469727,0.6743999719619751,11.119999885559082,11.930000305175781,4.033669948577881,2,0.7116000056266785,134.2169952392578
